OBJECTID,FEATURETYPE,NAME,CAPACITY_kV,CLASSIFICATION,SITESUBURB,STATE,STATUS,FEATURERELIABILITY,FEATURESOURCE,ATTRIBUTERELIABILITY,ATTRIBUTESOURCE,SPATIALACCURACY,REVISED,LATITUDE,LONGITUDE
1,Substation,Bowen North,132,Terminal,Bowen,Queensland,Operational,20060704,East_Queensland_SPOT.ecw,20140627,Airservices Australia,5,20130812,-20.017831,148.167513
2,Substation,Clements Gap Wind Farm,132,Zone ,Clements Gap,South Australia,Operational,20100101,ALPSM2P5_ZONE54_2010.ecw,20120712,AEMO-Australian Energy Market Operators 2012,3,20120710,-33.508265,138.130708
3,Substation,Snowtown Wind Farm,275,,Cameron,South Australia,Operational,20100305,ESRI World Imagery,20100305,ESRI World Imagery,3,20130812,-33.830205,138.11846
4,Substation,Blyth West,275,Switchyard,Blyth,South Australia,Operational,20100305,ESRI World Imagery,20100305,ESRI World Imagery,3,20130812,-33.846902,138.407543
5,Substation,Belalie-North Brown Hill Wind Farm,275,,Belalie East,South Australia,Operational,20070516,alav2p5_69574270_16052007.ecw,20120712,AEMO-Australian Energy Market Operators 2012,5,20120710,-33.309212,138.727294
6,Substation,West Angelas Mine,220,Power Station,Newman,Western Australia,Operational,20100609,ESRI World Imagery,20100609,ESRI World Imagery,5,20130812,-23.154106,118.725055
7,Substation,West Angelas Mine,220,Switchyard,Newman,Western Australia,Operational,20100609,ESRI World Imagery,20100609,ESRI World Imagery,5,20130812,-23.148954,118.719173
8,Substation,Blayney Wind Farm,132,Zone ,Carcoar,New South Wales,Operational,20070101,Blayney_8730_50cm_2007.ecw,20001019,Airservices Australia,5,20131220,-33.628141,149.208199
9,Substation,Mumbida Wind Farm,132,Zone ,Burma Road,Western Australia,Operational,20100902,ESRI World Imagery,20100902,ESRI World Imagery,3,20130812,-28.991805,114.959888
10,Substation,Redbank,132,Switchyard,Warkworth,New South Wales,Operational,20130214,AEMO-Australian Energy Market Operators 2013,20130214,AEMO-Australian Energy Market Operators 2013,5,20130730,-32.579544,151.072531
11,Substation,Manildra,132,Zone ,Manildra,New South Wales,Operational,20070101,Molong_8631_50cm_2007.ecw,20130214,AEMO-Australian Energy Market Operators 2013,5,20130730,-33.179897,148.716948
12,Substation,Cadia,132,Zone ,Panuara,New South Wales,Operational,20070101,Molong_8631_50cm_2007.ecw,20130214,AEMO-Australian Energy Market Operators 2013,5,20130730,-33.466353,148.992818
13,Substation,Homebush Bay,132,Subtransmission ,Sydney Olympic Park,New South Wales,Operational,20080101,Sydney_9130_50cm_2008.ecw,20130214,AEMO-Australian Energy Market Operators 2013,5,20130730,-33.83318,151.072999
14,Substation,Hillston,132,Zone ,Hillston,New South Wales,Operational,20080101,Griffith_8129_50cm_2008.ecw,20130214,AEMO-Australian Energy Market Operators 2013,5,20130730,-33.515933,145.529721
15,Substation,Hay,132,Zone ,Hay,New South Wales,Operational,20080101,Griffith_8129_50cm_2008.ecw,20130214,AEMO-Australian Energy Market Operators 2013,5,20130730,-34.489418,144.878289
16,Substation,Cullerin Range Wind Farm,66,Zone ,Cullerin,New South Wales,Operational,20080101,Goulburn_8828_50cm_2008.ecw,20130214,AEMO-Australian Energy Market Operators 2013,3,20130730,-34.79553,149.398176
17,Substation,Gunning Wind Farm,66,Zone ,Gurrundah,New South Wales,Operational,20080101,Goulburn_8828_50cm_2008.ecw,20130214,AEMO-Australian Energy Market Operators 2013,3,20130730,-34.695831,149.383175
18,Substation,Brandy Hill,132,Zone,Seaham,New South Wales,Under Construction,20130214,AEMO-Australian Energy Market Operators 2013,20130214,AEMO-Australian Energy Market Operators 2013,1,20130730,-32.67055,151.70367
19,Substation,Wellington Road-SSWRD,110,Zone ,East Brisbane,Queensland,Operational,20090101,Brisbane_Mosaic_15cm_MGA56_2009.ecw,20130214,AEMO-Australian Energy Market Operators 2013,5,20130730,-27.485018,153.040655
20,Substation,Meadows,66,Zone ,Kuitpo,South Australia,Operational,20030101,WestandEastMtLoftyRanges_2003_2005_MGA54.ecw,20130214,AEMO-Australian Energy Market Operators 2013,5,20130730,-35.171804,138.769297
21,Substation,Balhannah,66,Zone ,Balhannah,South Australia,Operational,20030101,WestandEastMtLoftyRanges_2003_2005_MGA54.ecw,20130214,AEMO-Australian Energy Market Operators 2013,5,20130730,-34.996883,138.819964
